when,date,block,demand,forecast
2018-11-15T09:00:00,2018-11-15,morning,18,18.997820233357835
2018-11-15T13:00:00,2018-11-15,midday,117,117.0
2018-11-15T17:00:00,2018-11-15,evening,178,191.7591615822329
2018-11-15T21:00:00,2018-11-15,night,57,58.06909553067487
2018-11-16T09:00:00,2018-11-16,morning,18,19.054940361020698
2018-11-16T13:00:00,2018-11-16,midday,90,116.45059016839978
2018-11-16T17:00:00,2018-11-16,evening,184,188.8684678949853
2018-11-16T21:00:00,2018-11-16,night,68,57.980223626789225
2018-11-17T09:00:00,2018-11-17,morning,21,22.885488948835203
2018-11-17T13:00:00,2018-11-17,midday,152,138.82279786153902
2018-11-17T17:00:00,2018-11-17,evening,194,225.75833923328514
2018-11-17T21:00:00,2018-11-17,night,75,69.46046229816977
2018-11-18T09:00:00,2018-11-18,morning,27,27.605080324272883
2018-11-18T13:00:00,2018-11-18,midday,170,167.24764719232874
2018-11-18T17:00:00,2018-11-18,evening,296,274.62176484344377
2018-11-18T21:00:00,2018-11-18,night,73,83.8520710545974
2018-11-19T09:00:00,2018-11-19,morning,34,29.659929651316197
2018-11-19T13:00:00,2018-11-19,midday,181,180.29892307314444
2018-11-19T17:00:00,2018-11-19,evening,224,298.63661603899175
2018-11-19T21:00:00,2018-11-19,night,83,90.30534295793645
2018-11-20T09:00:00,2018-11-20,morning,28,27.502926939499396
2018-11-20T13:00:00,2018-11-20,midday,195,168.12756276644362
2018-11-20T17:00:00,2018-11-20,evening,270,279.693481088672
2018-11-20T21:00:00,2018-11-20,night,91,83.94866289302965
2018-11-21T09:00:00,2018-11-21,morning,27,22.758643944302843
2018-11-21T13:00:00,2018-11-21,midday,115,139.8782154250538
2018-11-21T17:00:00,2018-11-21,evening,297,232.03244220380233
2018-11-21T21:00:00,2018-11-21,night,57,69.55694065714154
2018-11-22T09:00:00,2018-11-22,morning,19,19.000000000000004
2018-11-22T13:00:00,2018-11-22,midday,135,116.80314900969904
2018-11-22T17:00:00,2018-11-22,evening,194,191.52002339915063
2018-11-22T21:00:00,2018-11-22,night,49,57.956013924381196
2018-11-23T09:00:00,2018-11-23,morning,21,19.05778236437221
2018-11-23T13:00:00,2018-11-23,midday,107,116.25887312467381
2018-11-23T17:00:00,2018-11-23,evening,178,188.64098619933316
2018-11-23T21:00:00,2018-11-23,night,50,57.87057898953629
2018-11-24T09:00:00,2018-11-24,morning,27,22.889007130792383
2018-11-24T13:00:00,2018-11-24,midday,131,138.6363471798949
2018-11-24T17:00:00,2018-11-24,evening,225,225.54270188142164
2018-11-24T21:00:00,2018-11-24,night,61,69.35432370991727
2018-11-25T09:00:00,2018-11-25,morning,28,27.60928841803433
2018-11-25T13:00:00,2018-11-25,midday,179,167.066593704822
2018-11-25T17:00:00,2018-11-25,evening,261,274.41815615953175
2018-11-25T21:00:00,2018-11-25,night,96,83.74950653895685
2018-11-26T09:00:00,2018-11-26,morning,27,29.6648411773196
2018-11-26T13:00:00,2018-11-26,midday,186,180.12339598966156
2018-11-26T17:00:00,2018-11-26,evening,299,298.44521676044394
2018-11-26T21:00:00,2018-11-26,night,102,90.20641946204924
2018-11-27T09:00:00,2018-11-27,morning,24,27.50855520142191
2018-11-27T13:00:00,2018-11-27,midday,173,167.9576896364675
2018-11-27T17:00:00,2018-11-27,evening,289,279.5144683126632
2018-11-27T21:00:00,2018-11-27,night,76,83.85344626776572
2018-11-28T09:00:00,2018-11-28,morning,25,22.765002025124684
2018-11-28T13:00:00,2018-11-28,midday,134,139.71412209991576
2018-11-28T17:00:00,2018-11-28,evening,220,231.8659893348491
2018-11-28T21:00:00,2018-11-28,night,61,69.4654956376188
2018-11-29T09:00:00,2018-11-29,morning,18,19.007100758134335
2018-11-29T13:00:00,2018-11-29,midday,113,116.6449596053376
